species_id,habitat_type,population_trend,fishing_pressure,average_size_cm,geographic_region,reproduction_rate,depth_range_m,water_temperature_c,population_size_thousands,conservation_status
1,Open Ocean,Critical,High,146.1,Atlantic,5.16,650.84,5.3,237.89,Poor
2,Estuary,Critical,Very High,23.7,Atlantic,4.36,1531.56,8.49,129.94,Poor
3,Coastal,Critical,Low,23.54,Arctic,9.08,290.61,22.89,409.48,Moderate
4,Estuary,Critical,Very High,12.3,Arctic,6.24,1317.14,29.32,449.9,Poor
5,Estuary,Critical,High,191.74,Indian Ocean,5.98,1284.93,29.58,391.18,Poor
6,Deep Sea,Increasing,Low,150.13,Mediterranean,5.81,56.01,17.35,98.48,Good
7,Coastal,Critical,High,77.12,Indian Ocean,4.03,1577.0,26.73,44.29,Poor
8,Coastal,Increasing,High,66.34,Mediterranean,7.96,1806.98,23.42,303.12,Good
9,Coastal,Critical,Moderate,76.44,Atlantic,2.9,538.49,17.53,29.49,Poor
10,Estuary,Declining,Low,157.18,Pacific,9.42,1625.72,19.32,336.74,Good
11,Open Ocean,Stable,Moderate,135.66,Indian Ocean,8.99,169.4,8.43,265.68,Good
12,Coastal,Increasing,Low,45.19,Indian Ocean,3.71,1201.94,28.44,331.73,Good
13,Estuary,Critical,High,43.08,Mediterranean,7.43,973.87,13.8,295.5,Moderate
14,Deep Sea,Declining,High,28.7,Atlantic,5.95,1094.12,16.15,211.93,Moderate
15,Open Ocean,Stable,Very High,135.46,Atlantic,3.71,1852.78,21.79,101.24,Poor
16,Deep Sea,Increasing,Low,155.23,Mediterranean,9.89,1743.27,13.35,153.55,Good
17,Open Ocean,Stable,Moderate,60.36,Atlantic,0.74,1571.24,11.36,262.73,Moderate
18,Estuary,Declining,Very High,13.98,Arctic,2.9,551.03,20.78,326.28,Poor
19,Coral Reef,Increasing,Very High,25.61,Pacific,5.44,1824.08,5.62,389.96,Moderate
20,Open Ocean,Stable,Very High,193.89,Indian Ocean,5.46,199.53,23.02,383.82,Moderate
21,Deep Sea,Critical,Moderate,66.13,Pacific,6.09,1707.39,17.85,486.37,Moderate
22,Estuary,Increasing,Very High,156.15,Indian Ocean,7.64,659.68,20.14,143.63,Moderate
23,Open Ocean,Stable,Moderate,128.69,Arctic,6.42,112.28,20.8,36.48,Moderate
24,Coral Reef,Declining,Very High,82.57,Atlantic,6.2,1340.37,18.18,173.48,Poor
25,Coral Reef,Declining,Moderate,49.08,Mediterranean,1.01,466.4,19.56,371.9,Moderate
26,Coastal,Increasing,High,33.06,Arctic,4.08,490.92,22.09,219.62,Moderate
27,Coastal,Stable,High,126.85,Pacific,2.7,615.56,23.83,409.08,Moderate
28,Deep Sea,Increasing,High,157.18,Mediterranean,3.02,132.05,23.19,275.11,Moderate
29,Open Ocean,Increasing,High,132.34,Atlantic,5.77,358.37,26.74,464.97,Good
30,Open Ocean,Stable,High,110.76,Arctic,2.4,15.25,9.74,473.98,Moderate
31,Coastal,Stable,Very High,17.97,Mediterranean,3.29,893.59,15.03,35.58,Poor
32,Open Ocean,Critical,Very High,194.01,Arctic,2.75,173.09,28.69,228.75,Poor
33,Open Ocean,Stable,Very High,161.76,Arctic,9.51,1366.89,14.91,305.23,Good
34,Coral Reef,Declining,Moderate,65.64,Atlantic,9.47,475.07,8.12,128.68,Moderate
35,Coastal,Increasing,Moderate,196.19,Indian Ocean,6.29,1887.43,18.14,204.13,Good
36,Estuary,Increasing,Moderate,124.36,Mediterranean,9.28,1743.15,7.74,339.16,Good
37,Coastal,Declining,Moderate,120.66,Atlantic,7.97,582.43,10.07,114.14,Moderate
38,Estuary,Stable,High,152.13,Arctic,6.1,1567.51,29.96,301.39,Moderate
39,Coral Reef,Declining,High,164.24,Atlantic,0.56,1607.47,18.53,349.03,Moderate
40,Deep Sea,Declining,High,134.73,Indian Ocean,7.84,1973.19,12.1,46.16,Moderate
41,Open Ocean,Critical,Low,34.34,Mediterranean,7.17,1197.69,29.87,249.27,Good
42,Coral Reef,Declining,Very High,74.27,Indian Ocean,6.34,168.52,29.16,132.28,Poor
43,Open Ocean,Increasing,Moderate,186.34,Pacific,7.72,1295.44,16.02,362.47,Good
44,Deep Sea,Declining,Moderate,52.68,Mediterranean,5.37,1251.83,11.51,95.59,Moderate
45,Deep Sea,Increasing,High,80.71,Indian Ocean,7.19,1278.51,25.96,446.23,Good
46,Coral Reef,Increasing,Moderate,92.09,Arctic,9.38,617.76,22.89,216.04,Good
47,Deep Sea,Increasing,Moderate,93.49,Mediterranean,4.07,1720.06,22.17,99.8,Moderate
48,Estuary,Stable,Very High,126.46,Mediterranean,7.23,1919.15,27.33,219.57,Moderate
49,Deep Sea,Critical,High,189.18,Atlantic,5.02,439.34,22.24,204.96,Moderate
50,Open Ocean,Increasing,Very High,55.73,Arctic,6.91,180.86,12.09,215.03,Moderate
51,Open Ocean,Increasing,Low,33.09,Pacific,7.75,393.1,22.35,293.2,Good
52,Open Ocean,Stable,Low,47.52,Indian Ocean,0.93,1642.0,12.65,261.07,Moderate
53,Open Ocean,Increasing,Low,178.52,Atlantic,6.64,1354.91,23.98,75.74,Moderate
54,Estuary,Declining,High,132.7,Indian Ocean,2.65,1273.91,20.49,33.72,Poor
55,Coastal,Declining,Moderate,64.32,Pacific,6.87,806.58,6.94,364.98,Good
56,Coral Reef,Critical,High,165.03,Pacific,4.95,1157.77,17.82,280.3,Poor
57,Open Ocean,Increasing,High,173.66,Mediterranean,7.85,619.21,13.58,180.14,Good
58,Deep Sea,Stable,Moderate,170.84,Pacific,1.67,957.01,13.21,404.37,Moderate
59,Open Ocean,Declining,Very High,184.6,Indian Ocean,6.45,1587.16,20.06,194.64,Moderate
60,Deep Sea,Stable,Low,57.93,Arctic,3.15,1962.58,13.06,398.19,Moderate
61,Deep Sea,Stable,Very High,153.46,Arctic,8.6,1865.32,24.42,153.57,Moderate
62,Open Ocean,Declining,Low,97.5,Mediterranean,9.32,1868.06,6.77,37.35,Moderate
63,Estuary,Stable,High,169.98,Indian Ocean,9.97,807.44,21.51,466.39,Good
64,Deep Sea,Declining,Low,148.41,Indian Ocean,8.06,940.24,25.23,197.88,Good
65,Deep Sea,Stable,High,157.53,Pacific,7.66,1412.74,21.82,396.55,Moderate
66,Open Ocean,Declining,Very High,134.67,Indian Ocean,2.55,1844.77,17.43,140.29,Poor
67,Deep Sea,Increasing,High,43.71,Atlantic,3.69,288.28,28.76,323.54,Moderate
68,Deep Sea,Critical,Very High,113.56,Pacific,4.92,611.96,12.5,436.78,Poor
69,Open Ocean,Declining,Moderate,197.09,Atlantic,7.85,282.8,5.48,21.78,Moderate
70,Open Ocean,Declining,Moderate,188.1,Mediterranean,9.19,1225.96,15.8,415.49,Good
71,Coral Reef,Critical,Moderate,18.2,Arctic,2.3,616.07,5.83,286.1,Poor
72,Estuary,Declining,High,41.31,Mediterranean,9.26,655.59,28.85,304.13,Moderate
73,Estuary,Declining,Moderate,35.03,Arctic,7.11,146.48,10.25,262.06,Good
74,Deep Sea,Stable,Low,147.94,Mediterranean,6.3,702.84,24.72,437.36,Good
75,Estuary,Critical,Very High,165.38,Indian Ocean,2.4,1725.68,24.36,22.67,Poor
76,Deep Sea,Increasing,Very High,50.57,Atlantic,1.03,469.98,10.44,131.25,Poor
77,Coral Reef,Declining,Low,106.11,Arctic,5.9,1391.9,20.53,438.01,Good
78,Open Ocean,Critical,High,169.73,Pacific,6.69,1261.11,6.2,376.42,Moderate
79,Open Ocean,Stable,High,149.23,Atlantic,2.5,1727.65,17.09,9.8,Poor
80,Open Ocean,Increasing,Very High,113.03,Pacific,5.79,268.91,5.37,258.99,Moderate
81,Estuary,Critical,Moderate,122.17,Atlantic,8.64,1955.29,28.03,265.26,Moderate
82,Coral Reef,Increasing,High,106.59,Atlantic,8.43,1167.34,29.4,201.04,Good
83,Estuary,Increasing,High,66.53,Mediterranean,9.31,1990.97,10.56,149.4,Moderate
84,Estuary,Increasing,Low,117.35,Arctic,3.98,1823.47,10.2,341.18,Good
85,Coral Reef,Declining,Low,140.89,Arctic,3.52,446.93,23.84,104.69,Moderate
86,Coral Reef,Declining,Moderate,175.93,Atlantic,7.62,117.04,11.33,399.68,Moderate
87,Coral Reef,Stable,High,130.9,Indian Ocean,4.6,515.0,27.38,401.72,Moderate
88,Coral Reef,Stable,High,154.61,Indian Ocean,1.33,1057.49,19.35,208.22,Poor
89,Open Ocean,Critical,Low,40.41,Pacific,3.19,347.33,13.77,142.49,Poor
90,Coastal,Stable,High,97.7,Pacific,4.48,339.08,25.82,142.66,Moderate
91,Coastal,Increasing,Very High,11.77,Mediterranean,3.28,927.87,17.34,241.66,Moderate
92,Coral Reef,Increasing,Low,56.87,Atlantic,3.66,71.37,27.79,360.07,Good
93,Coastal,Declining,Moderate,148.03,Pacific,3.29,248.17,28.2,180.08,Moderate
